make, model, year, price, mileage, color
Honda, Civic, 2023, 22000.00, 5000, Silver
Maserati, MC20 Base, 2022, 234986.00, 576, White
Toyota,Venza,2012,20107.64,14741,Goldenrod
Toyota,RAV4,2012,23691.47,14797,Mauv
Chrysler,Voyager,2002,18802.42,15839,Turquoise
Mercedes-Benz,E-Class,1989,14582.13,13202,Aquamarine
Toyota, Camry, 2022, 25000.00, 10000, Blue
Ford, F-150, 2021, 35000.00, 15000, Red
Toyota,Previa,1991,18343.18,8078,Green
Ford,LTD Crown Victoria,1985,10748.88,16236,Puce
Lincoln,Navigator L,2010,16452.82,17565,Khaki
Mercedes-Benz,SLR McLaren,2008,10408.73,10034,Mauv
Mitsubishi,Challenger,2000,12933.55,15988,Pink
Chrysler,LHS,1995,18386.07,16153,Teal